entity,age-months
staging/src/k8s.io/api/testdata/HEAD/apps.v1.Deployment.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.ReplicaSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.ReplicaSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.ReplicaSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.StatefulSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.StatefulSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.StatefulSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.Deployment.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.Deployment.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.Deployment.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.StatefulSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.StatefulSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta1.StatefulSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.DaemonSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.DaemonSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.DaemonSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.Deployment.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.Deployment.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.Deployment.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.ReplicaSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.ReplicaSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.ReplicaSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.StatefulSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.StatefulSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1beta2.StatefulSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.json,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.pb,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.yaml,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.json,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.pb,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.yaml,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.json,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.pb,0
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.yaml,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.json,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.pb,0
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.yaml,0
