entity,n-authors,n-revs
deploy/old-template.yaml,2,2
ci/terraform/account-management-kms.tf,2,2
src/utils/retryableFunction.ts,2,2
test/data-scripts/activity-log.sh,2,2
test/utils/global-try-catch.test.ts,2,2
src/components/common/mfa/add-phone-number.njk,2,2
src/middleware/activity-log-middleware.ts,2,2
src/components/switch-backup-method/switch-backup-method-routes.ts,2,2
src/utils/test/kms-keyring-builder.test.ts,2,2
ci/terraform/tfl.sh,2,2
test/unit/middleware/csrf-middleware.test.ts,2,2
src/components/change-authenticator-app/change-authenticator-app-service.ts,2,2
src/utils/test/retryableFunction.test.ts,2,2
.github/workflows/pre-merge-checks-terraform.yml,2,2
src/components/common/mfa/add-auth-app.njk,2,2
post-deploy-tests/tsconfig.json,2,2
src/components/security-code-error/security-code-error-routes.ts,2,2
src/components/common/sms/add-sms.njk,2,2
src/utils/redact.ts,2,2
src/components/add-mfa-method-app/index.njk,2,2
src/components/choose-backup/choose-backup-routes.ts,2,2
src/components/session-expired/session-expired-controller.ts,2,2
docs/adr/0001-record-adrs.md,2,2
docs/adr/0002-move-to-secure-pipelines.md,2,2
post-deploy-tests/tests/step-definitions/contact-govuk-one-login.step.ts,2,2
src/components/signed-out/signed-out-routes.ts,2,2
src/components/switch-backup-method/switch-backup-method.ts,2,2
src/components/add-mfa-method/add-app.njk,2,2
src/components/change-authenticator-app/types.ts,2,2
src/utils/test/phone-number.test.ts,2,2
src/components/start/start-controller.ts,2,2
src/handlers/csrf-error-handler.ts,2,2
src/components/healthcheck/tests/healthcheck-controller.test.ts,2,2
src/assets/javascript/ga4/pageViewTracker.js,2,2
src/handlers/page-not-found-handler.ts,2,2
src/components/start/start-routes.ts,2,2
deploy/static/robots.txt,2,2
src/components/switch-backup-method/index.njk,2,2
src/components/add-mfa-method/tests/add-mfa-method-validation.test.ts,2,2
src/components/common/layout/base-menu.njk,2,2
src/components/security-code-error/index.njk,2,2
src/utils/test/session-ids.test.ts,2,2
src/components/security-code-error/tests/security-code-error-controller.test.ts,2,2
.github/workflows/require-pinned-github-actions.yml,2,2
src/components/healthcheck/healthcheck-routes.ts,2,2
src/components/webchat-demo/webchat-demo-routes.ts,2,2
src/middleware/sanitize-request-middleware.ts,2,2
ci/tasks/generate-account-management-deployment-variables.yml,2,2
.github/workflows/merge-post-deploy-tests-to-main.yml,2,2
src/components/add-mfa-method/add-mfa-mehod-validation.ts,2,2
.secrets.baseline,2,2
src/components/user-info/user-info-routes.ts,2,2
.cfignore,2,2
tslint.json,2,2
docs/adr/0005-csrf-prevention.md,2,2
test/unit/middleware/sanitize-request-middleware.test.ts,2,2
SECURITY.md,2,2
ci/terraform/outputs.tf,2,2
.eslintignore,2,2
sandpit-push.sh,2,2
seed.yaml,1,2
docs/adr/images/2022-reading-data-out-rejected-api-gateway.png,1,2
src/utils/mfa/api.ts/index.ts,1,2
.gitattributes,1,2
src/utils/mfa/api.ts/configuration.ts,1,2
src/utils/mfa/api.ts/git_push.sh,1,2
src/utils/mfa/api.ts/api.ts,1,2
src/utils/mfa/api.ts/.npmignore,1,2
src/utils/mfa/api.ts/base.ts,1,2
src/utils/mfa/api.ts/.gitignore,1,2
src/utils/mfa/api.ts/.openapi-generator-ignore,1,2
docs/adr/images/2022-reading-data-out-adopted.png,1,2
src/utils/mfa/api.ts/common.ts,1,2
src/utils/mfa/api.ts/.openapi-generator/FILES,1,2
seed.yaml.sample,1,2
src/utils/mfa/api.ts/.openapi-generator/VERSION,1,2
test/unit/config/app.test.ts,1,2
docs/adr/images/2022-reading-data-out-rejected-lambda.png,1,2
eventloopblock/securityGet.txt,1,1
test/unit/utils/global-try-catch.test.ts,1,1
src/utils/encryption/kms-keyring-builder.ts,1,1
ci/tasks/terraform-taint.yml,1,1
scripts/sync-translations.sh,1,1
post-deploy-tests/tests/utils/launch.ts,1,1
src/components/common/layout/base-page.njk,1,1
src/utils/mfa/api/git_push.sh,1,1
src/utils/mfa/api/.npmignore,1,1
src/components/check-your-email/check-your-email-validation.ts,1,1
src/assets/robots.txt,1,1
src/components/common/ga4-opl/template.njk,1,1
src/utils/mfa/api/.openapi-generator-ignore,1,1
src/components/dev/missing-translations.njk,1,1
openapitools.json,1,1
docs/adr/0006-openapi-client.md,1,1
src/components/change-default-method/change-to-sms.njk,1,1
test/unit/utils/logger.test.ts,1,1
src/components/choose-backup/choose-backup-controller.ts,1,1
src/components/session-expired/session-expired-routes.ts,1,1
eventloopblock/deleteAccountGet.txt,1,1
static/robots.txt,1,1
LICENCE,1,1
src/assets/javascript/ua/init.js,1,1
src/components/robots-txt/robots-txt-routes.ts,1,1
ci/terraform/sandpit.hcl,1,1
src/components/robots-txt/robots-txt-controller.ts,1,1
eventloopblock/mfaMethodMiddleware.txt,1,1
src/config/nunchucks.ts,1,1
src/utils/mfa/api/index.ts,1,1
src/config/PwnedPasswordsTop100k.txt,1,1
src/utils/mfa/api/configuration.ts,1,1
ci/terraform/.terraform-version,1,1
test/data-scripts/raw_events.sh,1,1
eventloopblock/Query,1,1
src/components/change-default-method/change-to-app.njk,1,1
eventloopblock/setLocalVarsMiddleware.txt,1,1
src/components/dev/development-controllers.ts,1,1
src/components/choose-backup/tests/choose-backup-validation.test.ts,1,1
src/components/choose-backup/tests/choose-backup-controller.test.ts,1,1
src/components/choose-backup/choose-backup-validation.ts,1,1
customError.html,1,1
ci/terraform/cf-data.tf,1,1
src/utils/mfa/api/api.ts,1,1
src/handlers/internal-server-error-handler.ts,1,1
src/utils/password-validation.ts,1,1
src/utils/mfa/api/common.ts,1,1
src/components/dev/development-routes.ts,1,1
src/components/choose-backup/index.njk,1,1
src/assets/javascript/international-phone.js,1,1
ci/terraform/user-provided-services.tf,1,1
src/config/cf.ts,1,1
post-deploy-tests/jest.config.ts,1,1
src/utils/kms-keyring-builder.ts,1,1
test/utils/logger.test.ts,1,1
eventloopblock/YourServiceGet.txt,1,1
src/utils/mfa/api/.gitignore,1,1
src/assets/javascript/analytics.js,1,1
src/assets/javascript/ga4/init.js,1,1
src/utils/mfa/api/base.ts,1,1
src/utils/mfa/api/.openapi-generator/VERSION,1,1
src/components/common/errors/errorSummary.njk,1,1
src/components/common/ga4-opl/macro.njk,1,1
src/components/enter-password/enter-password-validation.ts,1,1
src/components/check-your-phone/check-your-phone-validation.ts,1,1
test/unit/middleware/auth-middleware.test.ts,1,1
test/utils/pact-publisher.ts,1,1
src/utils/get-access-check-value.ts,1,1
pact.local.Dockerfile,1,1
jest.config.js,1,1
src/components/search-services/search-services-routes.ts,1,1
rollup.config.mjs,1,1
src/utils/errors.ts,1,1
eventloopblock/connect-dynamodb.txt,1,1
post-deploy-tests/run-tests.sh,1,1
post-deploy-tests/tests/features/contact-govuk-one-login.feature,1,1
src/components/common/scripts/taxonomy.njk,1,1
test/unit/utils/password-validation.test.ts,1,1
test/unit/middleware/form-validation-middleware.test.ts,1,1
src/utils/mfa/api/.openapi-generator/FILES,1,1
