entity,numberOfAuthors,numberOfRevisions
eslint.config.mjs,1,6
src/utils/test/redact.test.ts,3,4
test/unit/utils/activityHistory.test.ts,3,4
src/utils/test/txma-header.test.ts,2,5
src/middleware/form-validation-middleware.ts,3,4
docs/adr/0004-switch-from-redis-to-dynamodb.md,2,5
src/components/change-password/change-password-validation.ts,2,5
test/unit/utils/language.toggle.test.ts,3,4
test/unit/middleware/html-lang-middleware.test.ts,3,4
.github/workflows/on-pull-request.yml,3,4
src/components/contact-govuk-one-login/types.ts,2,5
src/components/manage-your-account/tests/manage-your-account-controller.test.ts,3,4
pact-docker-compose.yml,2,5
ci/terraform/waf.tf,3,4
test/unit/middleware/overload-protection-middleware.test.ts,2,4
src/components/switch-backup-method/switch-backup-method-controller.ts,3,3
src/utils/test/decrypt-data.test.ts,3,3
src/utils/test/mfa.test.ts,3,3
src/utils/test/sqs.test.ts,3,3
src/components/enter-password/enter-password-routes.ts,2,4
src/components/add-mfa-method-app/add-mfa-method-app-routes.ts,2,4
src/components/change-authenticator-app/change-authenticator-app-routes.ts,2,4
src/components/delete-mfa-method/index.njk,3,3
test/unit/utils/oidc.ts,3,3
.husky/_/husky.sh,2,4
src/components/delete-mfa-method/tests/delete-mfa-method-controller.test.ts,2,4
test/unit/utils/present-activity-history.test.ts,2,4
src/utils/isUserLoggedIn.ts,2,4
src/components/change-default-method/change-default-method-controller.ts,1,5
nodemon.json,3,3
src/components/common/activity-history/event.njk,3,3
src/components/add-mfa-method-sms/tests/add-mfa-method-sms-controller.test.ts,2,4
src/components/common/mfa/tests/index.test.ts,3,3
src/components/change-email/change-email-validation.ts,3,3
src/components/enter-password/enter-password-service.ts,3,3
src/components/session-expired/tests/session-expired-controller.test.ts,3,3
src/components/signed-out/tests/signed-out-controller.test.ts,3,3
src/components/start/tests/start-controller.test.ts,3,3
src/config/oidc.ts,3,3
src/utils/session-ids.ts,2,4
redirect.js,3,3
src/components/manage-your-account/manage-your-account-routes.ts,2,4
test/pact/send-otp-code.test-pact.ts,1,5
ci/terraform/auto-scaling.tf,3,3
ci/terraform/static/robots.txt,3,3
localstack/user_services_table_seed.json,2,4
samconfig.toml,2,4
template.yaml,2,4
manifest.yml,3,3
src/components/global-logout/types.ts,1,5
ci/terraform/network.tf,2,4
src/utils/cache.ts,1,4
src/utils/global-try-catch.ts,2,3
src/utils/referenceCode.ts,2,3
src/components/delete-account/delete-account-routes.ts,2,3
src/components/delete-mfa-method/delete-mfa-method-routes.ts,2,3
src/components/oidc-callback/call-back-routes.ts,2,3
src/middleware/is-user-logged-in-middleware.ts,2,3
test/unit/middleware/is-user-logged-in-middleware.test.ts,2,3
src/utils/test/isUserLoggedIn.test.ts,2,3
test/unit/middleware/form-validation-middleware.ts,2,3
.github/workflows/update-dependabot-nvmrc.yml,2,3
docs/adr/0003-read-data-out-of-account-store-into-app.md,2,3
src/components/change-authenticator-app/index.njk,2,3
test/unit/error-handler.test.ts,2,3
src/components/contact-govuk-one-login/contact-govuk-one-login-routes.ts,2,3
src/components/track-and-redirect/tests/tract-and-redirect-route.test.ts,2,3
src/utils/txma-header.ts,1,4
test/utils/helpers.ts,2,3
src/middleware/html-lang-middleware.ts,2,3
src/middleware/language-toggle-middleware.ts,2,3
src/utils/language-toggle.ts,2,3
src/config/cookie.ts,2,3
test/unit/utils/session-ids.test.ts,1,4
test/utils/sqs.test.ts,2,3
src/components/webchat-demo/index.njk,2,3
src/components/webchat-demo/webchat-demo-controller.ts,2,3
ci/terraform/core.tf,2,3
src/components/common/gov-uk-publishing/types.ts,2,3
src/utils/ssm.ts,2,3
